"text size","bruteForce","sunday","rabinKarp","fsm","kmp"
1000, 0.012629839926958084, 0.013963749781250954, 0.02228360965847969, 0.11047118000686168, 0.022104979902505876
1100, 0.008605750277638435, 0.0036637895554304124, 0.008701040074229241, 0.03239794969558716, 0.01181430995464325
1200, 0.009770650267601013, 0.010055138915777206, 0.014883119389414787, 0.03988658003509045, 0.014986519962549209
1300, 0.008529170081019402, 0.004290879741311073, 0.010367210060358047, 0.034680530428886414, 0.0135201296210289
1400, 0.009520919695496559, 0.0040991102159023286, 0.010755939707159996, 0.03454045057296753, 0.014992149397730827
1500, 0.009812389984726905, 0.004010280147194862, 0.012535259574651719, 0.03342385977506637, 0.015642270520329474
1600, 0.010548210069537163, 0.00421266034245491, 0.011062529608607293, 0.033493789806962014, 0.016292090266942977
1700, 0.019530259519815445, 0.011530750244855881, 0.013508360236883163, 0.0476269792765379, 0.03032714009284973
1800, 0.012946809828281402, 0.005032820478081703, 0.014484549909830093, 0.037131659612059595, 0.020902980118989944
1900, 0.013449899852275848, 0.005417399182915688, 0.015536960065364838, 0.037388239726424216, 0.022386250123381614
2000, 0.013966340571641922, 0.0053455501049757, 0.01611269973218441, 0.03704356998205185, 0.023019070103764534
2500, 0.018046019971370696, 0.006496300324797631, 0.02470911018550396, 0.03905056960880757, 0.02870603956282139
3000, 0.021741929799318313, 0.007766990065574646, 0.02137894995510578, 0.04319276019930839, 0.035458160117268565
3500, 0.033213849514722824, 0.014490820169448852, 0.03788759037852287, 0.07671666003763676, 0.05312312014400959
4000, 0.0395912304520607, 0.018146969899535178, 0.04934505999088287, 0.09658836007118225, 0.06343953043222428
4500, 0.04182967029511928, 0.017540419921278954, 0.04679552964866161, 0.08454702012240886, 0.06926433995366096
5000, 0.03362502999603748, 0.011103529930114747, 0.035141010135412216, 0.054005319848656655, 0.0587338200956583
5500, 0.0389630700647831, 0.012564079985022545, 0.038211229890584945, 0.0554868995398283, 0.06488940969109536
6000, 0.039217899814248086, 0.01277921997010708, 0.04049894027411938, 0.05731487013399601, 0.06952895000576972
6500, 0.04375775009393692, 0.014576799497008323, 0.04477854013442993, 0.06079843983054161, 0.0745808694511652
7000, 0.047343799471855165, 0.015503409653902053, 0.047815489917993545, 0.06421246953308582, 0.08220064006745816
7500, 0.05054175950586796, 0.016132920011878014, 0.0509646500647068, 0.06476256981492043, 0.08630918025970459
8000, 0.16395846031606198, 0.016895559877157212, 0.055159030258655546, 0.06915329970419407, 0.09331528045237064
8500, 0.14542825035750867, 0.01799626000225544, 0.05857081025838852, 0.07387617073953151, 0.09841824002563954
9000, 0.15486297011375427, 0.01894660957157612, 0.06296801015734672, 0.07246895998716354, 0.1033832798153162
9500, 0.16485687024891377, 0.020297139883041382, 0.0654916799813509, 0.0762671898305416, 0.11004569992423058
10000, 0.17128971040248872, 0.021459630504250527, 0.0692312801629305, 0.08057957008481026, 0.11578390009701252
12000, 0.21507007971405984, 0.02561340980231762, 0.08493678972125053, 0.09658023960888386, 0.14821259006857873
14000, 0.24272881031036378, 0.028658029958605766, 0.09516701981425285, 0.09893643975257874, 0.16041380986571313
16000, 0.273996489867568, 0.031962710469961166, 0.10858470976352691, 0.1096869195252657, 0.23956565983593464
18000, 0.30507899962365626, 0.03604558989405632, 0.12179961994290352, 0.11847077995538711, 0.21907064005732535
20000, 0.34399409018456933, 0.04027654968202114, 0.1335388097912073, 0.1321235301345587, 0.24195494040846824
22000, 0.3768526399880648, 0.042842119783163074, 0.14635559029877185, 0.1400264000147581, 0.2665582198649645
24000, 0.40624154038727284, 0.04725704990327358, 0.1611674901843071, 0.1531579802185297, 0.28814661026000976
26000, 0.45008790962398054, 0.05270394042134285, 0.1763313902169466, 0.1605565496534109, 0.3152629704028368
28000, 0.47633517019450666, 0.05407389037311077, 0.1884663200378418, 0.1736589802801609, 0.3412949903309345
30000, 0.5158374205231666, 0.05839276015758514, 0.20020806051790715, 0.18626617938280104, 0.36321839056909083
32000, 0.5398570500314236, 0.0623251298815012, 0.21492783971130847, 0.19701028041541577, 0.3845453902333975
34000, 0.5815401799231767, 0.06587277986109256, 0.22942382007837295, 0.20515993982553482, 0.41193147994577883
36000, 0.6047339099645614, 0.07012880004942418, 0.24052200973033905, 0.2189974994212389, 0.43695852026343346
38000, 0.639872609898448, 0.07304375052452088, 0.25525251038372515, 0.22747135013341904, 0.45976523973047734
40000, 0.686971850246191, 0.07643328011035919, 0.2695779898762703, 0.2367193303257227, 0.4804042499512434
42000, 0.7209139799326658, 0.08184732064604759, 0.2828822297602892, 0.24611774027347566, 0.5125163500756025
44000, 0.7466003496199847, 0.08496359020471572, 0.2931810297816992, 0.25941930010914804, 0.5294258601218462
46000, 0.7843212298303842, 0.08844116032123565, 0.3088792999088764, 0.2714534203708172, 0.5576343400776387
48000, 0.827216319218278, 0.09166927054524422, 0.32224812991917134, 0.27648079976439477, 0.5828418999910354
50000, 0.8538434299081564, 0.09587161980569363, 0.33209215000271797, 0.288324069827795, 0.6030526300519705
52000, 0.8906599202007055, 0.10181906968355178, 0.3525505599379539, 0.3048734000325203, 0.6244712596386671
54000, 0.9562859507650137, 0.11127985030412674, 0.37954130008816717, 0.32885214030742643, 0.6795158000290393
56000, 0.9498038102686405, 0.11139464981853962, 0.37650956988334655, 0.31897906996309755, 0.6832842199504375
