"text size","bruteForce","sunday","rabinKarp","fsm","kmp"
1000, 0.011050639897584915, 0.010995359495282173, 0.01591789036989212, 2.176453840062022, 0.031037459224462507
1100, 0.0075521903485059735, 0.003029650151729584, 0.008843000009655953, 1.8818802102655172, 0.01391768991947174
1200, 0.01367295004427433, 0.009963540360331535, 0.012236450016498566, 2.184814829826355, 0.01711187995970249
1300, 0.008663369938731194, 0.0032246604561805723, 0.009718210026621819, 1.905252560004592, 0.015513119623064994
1400, 0.009512360021471978, 0.0030203700810670854, 0.010527680218219758, 1.8560364700108767, 0.017052359506487848
1500, 0.009860939532518386, 0.0029752197861671447, 0.010688220039010049, 1.802367940172553, 0.0168909702450037
1600, 0.010497979894280434, 0.003079610764980316, 0.010633140355348587, 1.8392101602256299, 0.017807049751281737
1700, 0.016983759626746177, 0.009306779876351357, 0.010963120013475419, 1.8500592797249555, 0.0350527698546648
1800, 0.013308639973402023, 0.003221050202846527, 0.012920199856162072, 1.8299098896980286, 0.02312279962003231
1900, 0.012994189709424973, 0.003227989599108696, 0.012726650014519692, 1.861352109760046, 0.02330721966922283
2000, 0.01383471004664898, 0.0032364702224731445, 0.013304790183901787, 1.8429148998111486, 0.0241641403734684
2500, 0.018507980182766913, 0.004673620089888573, 0.023911800161004068, 1.8399610597640277, 0.028564200475811957
3000, 0.022687139213085173, 0.005121579989790916, 0.021920379623770712, 1.8668823394924403, 0.03572946988046169
3500, 0.03289747931063175, 0.008263440057635307, 0.034476260170340535, 2.672534600123763, 0.056375489979982374
4000, 0.0392070397734642, 0.010683529675006867, 0.0425245301425457, 2.8754520197212696, 0.06626730985939502
4500, 0.042831640169024465, 0.010195979624986648, 0.04458439022302627, 2.6029868599027397, 0.07242361053824425
5000, 0.035145750120282176, 0.005487110093235969, 0.03456450000405312, 1.8821556499600411, 0.0573575995862484
5500, 0.03868282951414585, 0.005444109812378884, 0.0375186500698328, 1.849734840169549, 0.06404141023755074
6000, 0.04127138003706932, 0.005335250273346901, 0.04204469002783298, 1.8532882602512837, 0.06644770979881287
6500, 0.04591715022921562, 0.005492990240454674, 0.04470351032912731, 1.8903415999561548, 0.07539221987128258
7000, 0.04844750992953777, 0.0057519195973873135, 0.04823318019509316, 1.8715341394394636, 0.08166098952293396
7500, 0.05136096999049187, 0.005706170201301574, 0.050257449746131895, 1.8570411598682404, 0.08341484993696213
8000, 0.16537132017314435, 0.005832759514451027, 0.053769160136580466, 1.8677349799126386, 0.08860302016139031
8500, 0.15384272001683713, 0.007874019667506218, 0.06007227025926113, 1.8689302099496126, 0.0957956401258707
9000, 0.1615251100063324, 0.007376679703593254, 0.06177730023860931, 1.8857517398148775, 0.10417582973837852
9500, 0.16711000993847847, 0.00765030987560749, 0.06637975066900254, 1.8721940004825592, 0.10889370024204253
10000, 0.17833785004913807, 0.007914659976959228, 0.07068616017699242, 1.8620222801715136, 0.11035292997956275
12000, 0.22936990030109883, 0.008897910341620446, 0.08935679025948047, 2.048699890002608, 0.13901955008506775
14000, 0.25312643967568876, 0.011399000287055969, 0.09961835965514183, 1.914292790517211, 0.1570684000849724
16000, 0.2855290302634239, 0.0119821497797966, 0.11430181980133057, 1.931284000352025, 0.2427192898839712
18000, 0.32697553999722007, 0.012926590070128441, 0.1235209896415472, 1.9260473199933767, 0.2129117902368307
20000, 0.36124875023961067, 0.014423299804329872, 0.14346598960459234, 1.9523788801580668, 0.2358103495836258
22000, 0.397630959674716, 0.015141399428248405, 0.15300862975418567, 1.9308911301195621, 0.25516337968409064
24000, 0.43681891992688177, 0.015588330253958702, 0.16770204953849316, 1.9502101896703243, 0.2855547595024109
26000, 0.4646230003237724, 0.017018890380859374, 0.18076929964125157, 1.967346829995513, 0.3073357705771923
28000, 0.5090172495692968, 0.017765920087695123, 0.1967304603010416, 1.967296539694071, 0.32561782985925675
30000, 0.5430743702501059, 0.01834994986653328, 0.20885228015482427, 1.9916345592588187, 0.3522305604815483
32000, 0.5737634199857712, 0.01904330961406231, 0.22564146026968956, 2.0240517100691795, 0.3780287501960993
34000, 0.6051958004385233, 0.020510040074586868, 0.2395753400027752, 1.999461639523506, 0.4015961799025536
36000, 0.6436226800084114, 0.02125750042498112, 0.24798059023916721, 2.023291860073805, 0.4252863501012325
38000, 0.6860695797204971, 0.02379103034734726, 0.2647010599076748, 2.034973130449653, 0.4465166699141264
40000, 0.714850329682231, 0.02331947036087513, 0.2787044195830822, 2.03930751003325, 0.4686628397554159
42000, 0.7462564496695996, 0.02345157936215401, 0.2922983796149492, 2.0467251598834992, 0.5036699198931456
44000, 0.7787716894596816, 0.02524723030626774, 0.3059447005391121, 2.0458790698647498, 0.5152756895124913
46000, 0.8265457598119974, 0.026252319663763048, 0.3180736795812845, 2.058416269645095, 0.5457148905098438
48000, 0.8566648099571467, 0.0271815000474453, 0.33432772032916547, 2.0919435600936414, 0.5705326510220766
50000, 0.8908341503143311, 0.026917250230908393, 0.34427764035761355, 2.0806167401373385, 0.5878672897815704
52000, 0.9296541197597981, 0.02940869964659214, 0.35713706001639367, 2.097302759960294, 0.6194539701193571
54000, 0.9996625200659036, 0.031431999579072, 0.38852995954453945, 2.2107514901459218, 0.6671650399267673
56000, 0.9967731899768114, 0.029918679594993593, 0.384982920140028, 2.113102149963379, 0.66108847014606
